                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6845,                 1.3211,                 1.1568,                0.70074,                0.60474,                0.67351,                0.31242,                 1.6939,                 1.6012,                 1.1329,             0.00066169,             0.00066169,             0.00066169
                      2,                 1.6684,                 1.1241,                 1.1277,                0.63087,                0.59522,                0.60934,                0.29241,                 1.7153,                 2.0087,                 1.1344,              0.0013152,              0.0013152,              0.0013152
                      3,                 1.6643,                 1.0762,                 1.1142,                0.74467,                0.67736,                0.75024,                0.36529,                 1.6206,                 1.0849,                 1.1007,              0.0019555,              0.0019555,              0.0019555
                      4,                 1.6417,                 1.0747,                 1.1195,                0.72393,                0.65333,                0.72304,                0.36333,                 1.6177,                 1.5104,                 1.1072,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6185,                  1.014,                 1.0984,                0.73711,                0.67651,                0.73725,                0.38127,                  1.597,                 1.1523,                 1.0918,              0.0019208,              0.0019208,              0.0019208
                      6,                   1.59,                0.99307,                 1.0898,                0.79343,                0.71144,                0.79624,                0.41121,                 1.5444,                0.97626,                  1.069,               0.001901,               0.001901,               0.001901
                      7,                 1.5761,                 0.9649,                 1.0811,                0.76699,                0.70767,                0.77164,                0.39993,                 1.5675,                 1.0253,                 1.0746,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5808,                0.98214,                 1.0904,                0.76597,                0.70181,                0.77649,                0.40315,                 1.5747,                0.95026,                 1.0765,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5574,                0.93915,                 1.0662,                0.78086,                0.70054,                0.77542,                0.39829,                 1.5787,                 1.0285,                 1.0755,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5558,                0.93074,                 1.0685,                0.78174,                 0.7161,                0.78533,                0.40231,                 1.5635,                0.94245,                 1.0734,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5408,                0.92218,                 1.0723,                0.77955,                0.70996,                0.78716,                0.41492,                 1.5351,                0.90378,                 1.0652,               0.001802,               0.001802,               0.001802
                     12,                 1.5293,                0.90518,                 1.0613,                0.77297,                0.71536,                0.80454,                0.41953,                  1.512,                0.91972,                  1.058,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5273,                0.90179,                 1.0557,                0.78214,                0.72245,                 0.7894,                0.42083,                 1.5263,                0.89457,                 1.0596,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.535,                0.91256,                 1.0726,                0.79572,                0.74203,                0.81074,                0.43218,                 1.4994,                0.87832,                 1.0482,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4946,                0.87417,                 1.0477,                0.80548,                 0.7432,                0.81912,                0.44067,                 1.4998,                0.86999,                 1.0526,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5021,                0.87273,                 1.0507,                0.80489,                0.72925,                0.81504,                0.43182,                 1.4941,                0.87791,                 1.0418,               0.001703,               0.001703,               0.001703
                     17,                 1.4883,                 0.8622,                 1.0477,                0.79864,                0.73822,                 0.8079,                0.43433,                 1.4844,                0.86798,                 1.0431,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4838,                0.85622,                 1.0385,                0.79929,                0.72986,                0.81666,                0.43214,                 1.5102,                0.86684,                 1.0489,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4824,                0.85001,                 1.0378,                0.82548,                0.76479,                0.84122,                0.45644,                  1.456,                0.82024,                 1.0327,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4733,                0.83528,                  1.036,                0.80778,                 0.7558,                0.82706,                0.44744,                  1.487,                0.84761,                 1.0392,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.483,                 0.8472,                 1.0423,                0.80902,                0.76141,                0.83728,                0.44742,                 1.4723,                0.82267,                 1.0385,               0.001604,               0.001604,               0.001604
                     22,                 1.4659,                0.84094,                 1.0406,                0.80152,                0.75463,                0.82868,                0.44836,                 1.4755,                0.83695,                 1.0395,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4607,                0.83854,                 1.0317,                0.82331,                0.74478,                0.83424,                 0.4425,                 1.4914,                 0.8157,                  1.043,              0.0015644,              0.0015644,              0.0015644
